,University_Name,uni_web_link,wiki_link
0,University of Dhaka,http://www.du.ac.bd/,https://en.wikipedia.org/wiki/University_of_Dhaka
1,University of Rajshahi,http://www.ru.ac.bd/,https://en.wikipedia.org/wiki/University_of_Rajshahi
2,Bangladesh Agricultural University,http://www.bau.edu.bd/,https://en.wikipedia.org/wiki/Bangladesh_Agricultural_University
3,Bangladesh University of Engineering & Technology,http://buet.ac.bd,https://en.wikipedia.org/wiki/Bangladesh_University_of_Engineering_%26_Technology
4,University of Chittagong,http://cu.ac.bd,https://en.wikipedia.org/wiki/University_of_Chittagong
5,Jahangirnagar University,http://www.juniv.edu/,https://en.wikipedia.org/wiki/Jahangirnagar_University
6,"Islamic University, Bangladesh",http://iu.ac.bd,"https://en.wikipedia.org/wiki/Islamic_University,_Bangladesh"
7,Shahjalal University of Science and Technology,http://www.sust.edu/,https://en.wikipedia.org/wiki/Shahjalal_University_of_Science_and_Technology
8,Khulna University,http://ku.ac.bd,https://en.wikipedia.org/wiki/Khulna_University
9,Bangabandhu Sheikh Mujib Medical University,http://bsmmu.edu.bd,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujib_Medical_University
10,Bangabandhu Sheikh Mujibur Rahman Agricultural University,http://bsmrau.edu.bd,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Agricultural_University
11,Hajee Mohammad Danesh Science & Technology University,http://hstu.ac.bd,https://en.wikipedia.org/wiki/Hajee_Mohammad_Danesh_Science_%26_Technology_University
12,Mawlana Bhashani Science and Technology University,http://mbstu.ac.bd,https://en.wikipedia.org/wiki/Mawlana_Bhashani_Science_and_Technology_University
13,Patuakhali Science and Technology University,http://pstu.ac.bd,https://en.wikipedia.org/wiki/Patuakhali_Science_and_Technology_University
14,Sher-e-Bangla Agricultural University,http://sau.edu.bd,https://en.wikipedia.org/wiki/Sher-e-Bangla_Agricultural_University
15,Dhaka University of Engineering & Technology,http://duet.ac.bd,https://en.wikipedia.org/wiki/Dhaka_University_of_Engineering_%26_Technology
16,Rajshahi University of Engineering & Technology,http://www.ruet.ac.bd,https://en.wikipedia.org/wiki/Rajshahi_University_of_Engineering_%26_Technology
17,Chittagong University of Engineering & Technology,http://www.cuet.ac.bd/,https://en.wikipedia.org/wiki/Chittagong_University_of_Engineering_%26_Technology
18,Khulna University of Engineering & Technology,http://kuet.ac.bd,https://en.wikipedia.org/wiki/Khulna_University_of_Engineering_%26_Technology
19,Jagannath University,http://jnu.ac.bd,https://en.wikipedia.org/wiki/Jagannath_University
20,Jatiya Kabi Kazi Nazrul Islam University,http://jkkniu.edu.bd,https://en.wikipedia.org/wiki/Jatiya_Kabi_Kazi_Nazrul_Islam_University
21,Chittagong Veterinary and Animal Sciences University,http://www.cvasu.ac.bd,https://en.wikipedia.org/wiki/Chittagong_Veterinary_and_Animal_Sciences_University
22,Sylhet Agricultural University,http://sau.ac.bd,https://en.wikipedia.org/wiki/Sylhet_Agricultural_University
23,Comilla University,http://cou.ac.bd,https://en.wikipedia.org/wiki/Comilla_University
24,Noakhali Science and Technology University,http://nstu.edu.bd,https://en.wikipedia.org/wiki/Noakhali_Science_and_Technology_University
25,Jessore University of Science & Technology,http://just.edu.bd,https://en.wikipedia.org/wiki/Jessore_University_of_Science_%26_Technology
26,Pabna University of Science and Technology,http://www.pust.ac.bd/,https://en.wikipedia.org/wiki/Pabna_University_of_Science_and_Technology
27,Bangladesh University of Professionals,http://bup.edu.bd,https://en.wikipedia.org/wiki/Bangladesh_University_of_Professionals
28,Begum Rokeya University,http://brur.ac.bd,https://en.wikipedia.org/wiki/Begum_Rokeya_University
29,Bangladesh University of Textiles,http://butex.edu.bd,https://en.wikipedia.org/wiki/Bangladesh_University_of_Textiles
30,University of Barisal,http://www.barisaluniv.edu.bd/,https://en.wikipedia.org/wiki/University_of_Barisal
31,Bangabandhu Sheikh Mujibur Rahman Science and Technology University,http://www.bsmrstu.edu.bd/b/,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Science_and_Technology_University
32,Islamic Arabic University,,https://en.wikipedia.org/wiki/Islamic_Arabic_University
33,Bangabandhu Sheikh Mujibur Rahman Maritime University,http://bsmrmu.edu.bd,https://en.wikipedia.org/wiki/Bangabandhu_Sheikh_Mujibur_Rahman_Maritime_University
34,Rangamati Science and Technology University,http://rmstu.edu.bd,https://en.wikipedia.org/wiki/Rangamati_Science_and_Technology_University
